Customer,FR intake,TP intake,DFL intake,Register update intake,Total intake,FR output,TP output,DFL output,Register update output,Total output,FR requests for information,TP requests for information,DFL requests for information,Register update requests for information,Total requests for information
1st Stop Financial,0,0,0,903,903,0,0,0,864,864,0,0,0,69,69
A Shade Greener,0,31,0,520,551,0,23,0,521,544,0,6,0,22,28
Abbey National PLC,0,0,0,21151,21151,0,0,0,21120,21120,0,0,0,0,0
Abensons & Co,8,8,19,306,341,7,16,17,303,343,6,9,7,112,134
Aberdein Considine & Company,0,3,0,689,692,0,3,0,667,670,0,2,0,92,94
Accord Mortgages Limited,0,0,0,2670,2670,0,0,0,2681,2681,0,0,0,0,0
Acenden Limited,0,0,0,3160,3160,0,0,0,3155,3155,0,0,0,26,26
Addleshaw Goddard,15,85,21,862,983,10,66,8,666,750,3,35,3,108,149
Advantage Property Lawyers,45,29,81,1438,1593,45,25,71,1387,1528,10,14,29,274,327
Aldermore Bank PLC,0,0,0,1226,1226,0,0,0,1219,1219,0,0,0,0,0
Alexander Grace Law Limited,11,6,10,443,470,10,2,9,414,435,7,1,8,115,131
Alexander JLO,0,228,11,150,389,0,180,13,138,331,0,96,10,51,157
Allchurch Property Lawyers Limited,0,237,3,615,855,0,266,3,284,553,0,59,2,20,81
Amicus Solicitors,20,116,36,249,421,21,82,19,226,348,4,58,9,75,146
Amphlett Lissimore,2,82,15,486,585,2,62,16,471,551,0,29,13,172,214
Angel Wilkins LLP,6,22,48,361,437,5,37,34,384,460,1,19,13,101,134
Angela Viney Conveyancing Services,16,11,25,293,345,20,9,21,277,327,9,8,11,72,100
Anglian Water Services Ltd,1,0,14,370,385,5,1,12,353,371,3,1,4,6,14
Ansons,15,15,39,321,390,21,14,21,313,369,11,7,9,92,119
Anthony Collins,4,87,219,2718,3028,10,53,150,2619,2832,7,16,91,47,161
Anthony Gold,4,84,6,266,360,3,58,7,221,289,3,33,2,44,82
Aperture Debt Solutions LLP,0,0,0,640,640,0,0,0,743,743,0,0,0,87,87
Apex ABS Limited,3,25,15,320,363,2,19,12,294,327,1,15,8,105,129
Arnold Davies Vincent Evans,15,0,9,820,844,12,2,7,821,842,4,0,3,14,21
Ashfords,58,89,94,1068,1309,54,59,67,948,1128,17,39,40,198,294
Ashtons Legal,32,18,103,358,511,34,33,92,353,512,15,20,22,86,143
AST Hampsons,12,17,105,275,409,9,25,101,276,411,5,11,39,84,139
Attwells,15,51,39,448,553,17,43,27,454,541,6,32,18,123,179
Aviva Equity Release (UK) Limited,0,0,0,1334,1334,0,0,0,1334,1334,0,0,0,0,0
Awdry Bailey & Douglas,27,28,40,422,517,22,19,42,392,475,6,6,13,82,107
Axiom Stone London Ltd,1,40,8,374,423,1,34,5,329,369,1,19,3,88,111
Band Hatton Button LLP,12,33,39,464,548,12,16,36,446,510,4,13,19,85,121
Bank of Ireland,0,0,0,4916,4916,0,0,0,4858,4858,0,0,0,2,2
Bank of Scotland,0,0,0,441,441,0,0,0,443,443,0,0,0,0,0
Banner Jones Limited,40,21,99,658,818,45,23,79,639,786,14,15,59,213,301
Bannister Preston,18,111,294,602,1025,12,92,280,568,952,4,55,146,125,330
Barcan & Kirby LLP,17,44,34,398,493,12,40,31,372,455,6,29,19,126,180
Barclays Bank PLC,0,0,0,802,802,0,0,0,796,796,0,0,0,2,2
Barclays Bank UK PLC,0,0,0,25529,25529,0,0,0,25423,25423,0,0,0,1,1
Barclays Security Trustee Ltd,0,0,0,1230,1230,0,0,0,1176,1176,0,0,0,2,2
Barnes & Partners,7,108,44,460,619,7,79,38,419,543,3,52,20,160,235
Battens Solicitors Limited,26,27,36,331,420,31,21,37,335,424,6,12,17,73,108
BBH Legal Services Limited,2,11,21,759,793,1,10,19,753,783,0,9,12,127,148
BDB Pitmans,19,116,51,510,696,9,56,31,441,537,3,18,9,109,139
Beaumont Legal,34,21,189,2841,3085,30,36,176,2797,3039,10,18,94,383,505
Bell Lamb & Joynson,5,11,26,308,350,3,10,14,292,319,2,4,7,93,106
Bermans LLP,3,13,5,868,889,3,7,1,812,823,1,6,1,87,95
Berry Smith LLP,9,10,19,316,354,7,10,8,306,331,3,6,4,69,82
Bevan Brittan,16,34,217,356,623,9,33,168,317,527,5,27,91,71,194
BG Solicitors LLP,30,12,36,373,451,21,3,41,355,420,6,3,19,85,113
BHW Solicitors,12,33,205,289,539,6,29,188,275,498,3,18,116,78,215
Birchall Blackburn,53,66,145,2222,2486,64,53,113,2151,2381,26,29,62,437,554
Birkett Long LLP,26,23,25,285,359,22,28,20,269,339,11,14,11,78,114
Birketts LLP,75,149,276,1877,2377,73,140,261,1753,2227,25,65,143,300,533
Biscoes,18,41,20,288,367,19,31,23,272,345,5,16,11,57,89
Bishop & Sewell,1,150,9,475,635,0,120,9,414,543,0,68,5,82,155
Blackhurst Budd Limited,45,25,29,401,500,41,24,26,382,473,8,11,21,148,188
Blacks Solicitors,24,52,43,1419,1538,26,45,53,1443,1567,11,20,30,400,461
Blake Morgan,26,115,74,1133,1348,26,115,74,1167,1382,10,42,38,211,301
BLB,19,26,103,355,503,19,29,88,382,518,8,15,35,104,162
Blemain Finance,0,0,0,801,801,0,0,0,790,790,0,0,0,1,1
Bower & Bailey,72,80,382,1228,1762,80,75,353,1212,1720,10,37,164,283,494
Boys & Maughan,6,90,43,664,803,5,66,41,631,743,4,31,24,198,257
BPE Solicitors LLP,10,219,27,300,556,6,80,30,270,386,3,46,19,87,155
Bpl Solicitors,17,45,57,899,1018,21,44,55,842,962,8,28,29,216,281
Brabners LLP,21,98,40,1241,1400,16,93,18,1353,1480,7,36,14,97,154
Brearleys,25,41,39,465,570,23,72,49,456,600,13,59,21,131,224
Brethertons LLP,17,50,41,332,440,14,61,35,347,457,8,40,25,87,160
Brewer Wallace Ltd,11,21,30,321,383,11,8,27,287,333,6,5,9,73,93
